year,month,gs1,ebp,ff4_tc,ipgr,infl
1997,3,5.8,-0.512084,0.0090322,0.765499999999975,0.0625999999999749
1997,4,5.99,-0.438469,0.0309677,0.0448000000000093,0.0626000000000317
1997,5,5.87,-0.436481,-0.0348387,0.687700000000007,0
1997,6,5.69,-0.50729,-0.0551615,0.451399999999978,0.187399999999968
1997,7,5.54,-0.525862,-0.0193548,0.608200000000011,0.12480000000005
1997,8,5.56,-0.501028,0.0035484,1.31639999999999,0.248999999999967
1997,9,5.52,-0.599141,0.0058064,0.867200000000025,0.248499999999979
1997,10,5.46,-0.47386,0,0.681600000000003,0.185900000000004
1997,11,5.46,-0.396917,0,0.884799999999984,0.123800000000017
1997,12,5.53,-0.453156,-0.0051613,0.354600000000005,0.0618000000000052
1998,1,5.24,-0.374018,-0.0048387,0.493499999999983,0.123499999999979
1998,2,5.31,-0.353293,0,0.088799999999992,0
1998,3,5.39,-0.402522,0,0.0655000000000427,0
1998,4,5.38,-0.476149,0,0.380200000000002,0.123400000000004
1998,5,5.44,-0.435831,-0.0041935,0.668099999999981,0.246300000000019
1998,6,5.41,-0.421874,-0.0058064,-0.585300000000018,0.12299999999999
1998,7,5.36,-0.385605,0.00999,-0.425900000000013,0.245400000000018
1998,8,5.21,-0.040715,0.0045161,2.09920000000005,0.122399999999971
1998,9,4.71,-0.103384,0.0101504,-0.321900000000028,0.0612000000000421
1998,10,4.12,0.000441,-0.0717633,0.79079999999999,0.244399999999985
1998,11,4.53,0.02907,-0.1129031,-0.087600000000009,0.121899999999982
1998,12,4.52,-0.106692,0,0.354000000000042,0.182700000000011
1999,1,4.51,-0.124938,0,0.446799999999996,0.182299999999998
1999,2,4.7,-0.352341,0,0.432699999999954,0
1999,3,4.78,-0.275318,-0.0012903,0.214200000000005,0.0606999999999971
1999,4,4.69,-0.279516,-0.0187097,0.230800000000045,0.665200000000027
1999,5,4.85,-0.279658,0.0180645,0.739999999999952,0.0602999999999838
1999,6,5.1,-0.213867,0.0196021,-0.191599999999994,0
1999,7,5.03,-0.148228,-0.0676665,0.675700000000006,0.420799999999986
1999,8,5.2,-0.147479,0.003871,0.418600000000026,0.239700000000028
1999,9,5.25,-0.004159,0.0111289,-0.279600000000016,0.41799999999995
1999,10,5.43,-0.040454,0.0348387,1.27100000000002,0.178600000000074
1999,11,5.55,-0.078502,0.0351663,0.49879999999996,0.178299999999922
1999,12,5.84,-0.312901,0.0282309,0.79340000000002,0.237300000000005
2000,1,6.12,-0.12087,-0.0032258,0.0776000000000181,0.295700000000011
2000,2,6.22,-0.10413,0.0048275,0.377499999999998,0.412599999999998
2000,3,6.22,0.153359,-0.0033724,0.398799999999994,0.586599999999976
2000,4,6.15,0.329846,-0.0064452,0.624500000000012,-0.0585999999999558
2000,5,6.33,0.498835,0.0361292,0.150100000000009,0.175500000000056
2000,6,6.17,0.54953,0.0323699,0.0575999999999794,0.582399999999893
2000,7,6.08,0.607972,-0.013509,-0.231299999999976,0.289900000000102
2000,8,6.18,0.76418,0.0016129,-0.266800000000046,0
2000,9,6.13,0.816644,0.0033872,0.485100000000045,0.519799999999918
2000,10,6.01,1.252061,0.023387,-0.450900000000047,0.172599999999989
2000,11,6.09,1.288705,0.0016129,-0.012299999999982,0.172400000000039
2000,12,5.6,1.360387,-0.0020967,-0.319299999999998,0.229400000000055
2001,1,4.81,0.9097,-0.1422579,-0.721600000000024,0.571100000000001
2001,2,4.68,0.935115,0.0193646,-0.604199999999992,0.227499999999964
2001,3,4.3,0.973143,-0.0290322,-0.271799999999985,0.0567999999999529
2001,4,3.98,0.772219,-0.2063012,-0.278599999999983,0.170200000000023
2001,5,3.78,0.686657,-0.2864408,-0.729100000000017,0.50890000000004
2001,6,3.58,0.976032,-0.0532258,-0.670599999999979,0.225299999999947
2001,7,3.62,0.563165,0.0650001,-0.441700000000026,-0.168900000000008
