gamma_f,lambda,rho_pi,rho_x
0.5960302059480705,-0.0015755902953432654,0.6784969424060271,-0.0443396265237275
0.5735855745267799,0.0005253339649613671,0.7486333055813402,0.017273339192215274
0.5920497583128816,5.8940068066351114e-05,0.6899747614291365,0.00339922678086781
0.5505909180334903,0.00024141441300711518,0.8228137681434698,0.014203567489570511
0.5550551778890983,9.779709270124615e-05,0.8059893499495535,0.011948840774887991
0.5562570802248339,0.0001850661333916005,0.799786528388431,0.0056401331913131
0.5617294869522788,-0.0019151480941983975,0.7748292711487551,-0.039499034598395225
0.5960112125163228,0.0006838875993564787,0.6791708380515431,0.04826254583578773
0.5524709841336226,7.046063277985716e-06,0.8100558995517267,0.0002227429993482938
0.5766826620689249,0.0002969901562935818,0.7374110359513834,0.011239232629170174
0.57543295711489,0.0002262273493845307,0.7416427819404658,0.009731720767102296
0.560675501991989,0.0002986131060920792,0.7874450659443414,0.013517808304884004
0.5764537811797147,0.0004151469566717192,0.7401940801548565,0.016931573484632756
0.5555062134254418,0.0005007940717421736,0.8107199957543011,0.023572333058971964
0.5545996852166595,0.00048773511343770757,0.8004687031616232,0.007099564323711478
0.5722410326687525,3.19644187675122e-05,0.7479585248875797,0.002382251641603637
0.5553175921743008,0.00016973587687745418,0.8031496223936995,0.006998814451450821
0.5503196357810465,-0.0005986310253221581,0.809846738196882,-0.02572769719561689
0.5800515499778676,0.00010555582822248215,0.7302552418538961,0.011321327362541846
0.5675772721077142,-9.919297737833984e-05,0.7614809858224528,-0.006365802377665341
0.6094271318731088,0.0003193830872251311,0.6472056710000614,0.015277302391312792
0.5856979641396596,-0.00020464270555468553,0.7045937692212064,-0.013374918302927722
0.5698056099296732,0.00048329596856941034,0.7602013136154245,0.017704373499359792
0.5921625899815105,0.0006900442899086916,0.6961381264051898,0.023329502350137733
0.5593624623709642,-6.326131315229815e-05,0.7864110057679563,-0.0029813909186230518
0.5644567761396524,0.0001631151926472247,0.7747216893395444,0.00721790477152176
0.5738209935225448,0.0005114305677640634,0.7503370374759598,0.02614281843712892
0.5664757973857333,0.0011312580771959714,0.7733339392454852,0.03261403016236887
0.5677233690668549,-0.0004672775984812978,0.7565376401002057,-0.029320139412197715
0.5881904614534194,-0.00014431288216618012,0.6999981697804797,-0.005226750645764233
0.5709904792687555,0.0003362932795278623,0.7507757559579235,0.020084300712386295
0.5755864188767016,-0.00018903677357987904,0.7350075466039211,-0.007105721729491015
0.5567206890447443,3.5484316650524934e-05,0.7971341336939815,0.002738063734058313
